code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding
603766,隆鑫通用,2020-05-11,0,1,0,0,0,0,20.54,17.31,20.54
603777,来伊份,2020-05-11,0,1,0,0,0,0,3.39,19.34,3.37
603797,联泰环保,2020-05-11,0,1,0,0,0,0,3.2,18.08,3.2
603799,华友钴业,2020-05-11,0,1,0,0,0,0,11.41,58.76,10.79
603811,诚意药业,2020-05-11,0,1,0,0,0,0,1.19,32.7,1.19
603818,曲美家居,2020-05-11,0,1,0,0,0,0,4.89,0.0,4.84
603855,华荣股份,2020-05-11,0,1,0,0,0,0,3.37,21.12,2.02
603858,步长制药,2020-05-11,0,1,0,0,0,0,11.42,20.78,11.42
603859,能科股份,2020-05-11,0,1,0,0,0,0,1.39,68.39,1.26
603861,白云电器,2020-05-11,0,1,0,0,0,0,4.52,0.0,4.09
603887,城地股份,2020-05-11,0,1,0,0,0,0,2.68,28.56,1.91
603899,晨光文具,2020-05-11,0,1,0,0,0,0,9.2,52.61,9.2
603912,佳力图,2020-05-11,0,1,0,0,0,0,2.17,375.58,1.09
603929,亚翔集成,2020-05-11,0,1,0,0,0,0,2.13,0.0,2.13
603936,博敏电子,2020-05-11,0,1,0,0,0,0,3.15,93.41,2.68
603938,三孚股份,2020-05-11,0,1,0,0,0,0,1.5,70.83,0.51
603960,克来机电,2020-05-11,0,1,0,0,0,0,1.76,47.87,1.76
603968,醋化股份,2020-05-11,0,1,0,0,0,0,2.04,12.03,2.04
603979,金诚信,2020-05-11,0,1,0,0,0,0,5.83,14.12,5.83
603985,恒润股份,2020-05-11,0,1,0,0,0,0,1.46,12.62,1.46
603991,至正股份,2020-05-11,0,1,0,0,0,0,0.75,0.0,0.75
603993,洛阳钼业,2020-05-11,0,1,0,0,0,0,215.99,43.98,176.66
