,code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding,monitor
58,002053,云南能投,2020-05-14,0,1,0,0,0,0,7.61,10.78,3.72,6.88
59,002054,德美化工,2020-05-14,0,1,0,0,0,0,4.19,30.89,3.12,6.98
60,002074,国轩高科,2020-05-14,0,1,0,0,0,0,11.29,203.85,10.09,25.81
61,002091,江苏国泰,2020-05-14,0,1,0,0,0,0,15.64,15.23,15.1,6.37
62,002108,沧州明珠,2020-05-14,0,1,0,0,0,0,14.18,42.59,14.18,3.6
63,002120,韵达股份,2020-05-14,0,1,0,0,0,0,22.26,49.88,21.5,32.28
64,002130,沃尔核材,2020-05-14,0,1,0,0,0,0,12.59,35.21,10.55,4.85
65,002131,利欧股份,2020-05-14,0,1,0,0,0,0,67.55,77.79,57.87,4.22
66,002140,东华科技,2020-05-14,0,1,0,0,0,0,5.45,30.01,5.27,7.23
67,002142,宁波银行,2020-05-14,0,1,0,0,0,0,56.28,9.22,56.22,25.76
68,002153,石基信息,2020-05-14,0,1,0,0,0,0,10.7,221.19,4.87,32.92
69,002163,中航三鑫,2020-05-14,0,1,0,0,0,0,8.04,210.79,8.03,7.32
70,002179,中航光电,2020-05-14,0,1,0,0,0,0,11.01,61.7,10.65,36.31
71,002183,怡 亚 通,2020-05-14,0,1,0,0,0,0,21.23,113.59,21.2,5.23
72,002184,海得控制,2020-05-14,0,1,0,0,0,0,2.4,0.0,1.57,12.5
73,002194,武汉凡谷,2020-05-14,0,1,0,0,0,0,5.65,115.2,4.11,26.82
74,002202,金风科技,2020-05-14,0,1,0,0,0,0,42.25,12.2,33.88,10.36
75,002212,南洋股份,2020-05-14,0,1,0,0,0,0,11.58,0.0,11.15,28.75
76,002214,大立科技,2020-05-14,0,1,0,0,0,0,4.59,20.91,3.57,22.49
77,002215,诺 普 信,2020-05-14,0,1,0,0,0,0,9.14,11.28,7.28,6.55
78,002221,东华能源,2020-05-14,0,1,0,0,0,0,16.5,15.34,15.3,10.08
79,002226,江南化工,2020-05-14,0,1,0,0,0,0,12.49,70.09,9.58,5.22
80,002232,启明信息,2020-05-14,0,1,0,0,0,0,4.09,230.46,4.03,10.08
81,002236,大华股份,2020-05-14,0,1,0,0,0,0,30.03,41.0,18.71,17.25
82,002240,威华股份,2020-05-14,0,1,0,0,0,0,7.44,0.0,4.91,8.62
83,002242,九阳股份,2020-05-14,0,1,0,0,0,0,7.67,42.5,7.63,33.37
84,002248,华东数控,2020-05-14,0,1,0,0,0,0,3.07,0.0,2.97,8.44
85,002251,步 步 高,2020-05-14,0,1,0,0,0,0,8.64,21.95,8.64,9.97
86,002252,上海莱士,2020-05-14,0,1,0,0,0,0,67.41,46.11,49.72,8.85
87,002262,恩华药业,2020-05-14,0,1,0,0,0,0,10.19,26.72,8.87,15.04
88,002267,陕天然气,2020-05-14,0,1,0,0,0,0,11.12,6.08,11.12,6.16
89,002270,华明装备,2020-05-14,0,1,0,0,0,0,7.59,6.22,7.32,5.88
90,002284,亚太股份,2020-05-14,0,1,0,0,0,0,7.38,0.0,6.86,5.1
91,002285,世联行,2020-05-14,0,1,0,0,0,0,20.38,0.0,20.1,2.97
92,002290,*ST中科,2020-05-14,0,1,0,0,0,0,2.43,37.03,2.16,5.65
93,002291,星期六,2020-05-14,0,1,0,0,0,0,7.38,0.0,5.35,21.99
94,002295,精艺股份,2020-05-14,0,1,0,0,0,0,2.51,0.0,2.5,6.99
95,002300,太阳电缆,2020-05-14,0,1,0,0,0,0,5.97,440.4,5.97,7.62
96,002353,杰瑞股份,2020-05-14,0,1,0,0,0,0,9.58,27.06,6.03,27.06
97,002372,伟星新材,2020-05-14,0,1,0,0,0,0,15.73,57.5,14.15,13.05
98,002373,千方科技,2020-05-14,0,1,0,0,0,0,14.91,77.39,9.53,24.5
99,002381,双箭股份,2020-05-14,0,1,0,0,0,0,4.12,15.74,3.15,8.29
100,002385,大北农,2020-05-14,0,1,0,0,0,0,41.95,22.35,27.84,9.82
101,002388,新亚制程,2020-05-14,0,1,0,0,0,0,5.04,99.36,4.0,7.33
102,002389,航天彩虹,2020-05-14,0,1,0,0,0,0,9.46,584.57,5.97,13.69
103,002415,海康威视,2020-05-14,0,1,0,0,0,0,93.45,49.71,80.9,32.36
104,002432,九安医疗,2020-05-14,0,1,0,0,0,0,4.33,24.03,4.33,10.58
105,002434,万里扬,2020-05-14,0,1,0,0,0,0,13.4,27.35,11.74,10.29
106,002439,启明星辰,2020-05-14,0,1,0,0,0,0,9.34,0.0,7.12,41.58
107,002444,巨星科技,2020-05-14,0,1,0,0,0,0,10.75,14.83,10.12,10.25
108,002452,长高集团,2020-05-14,0,1,0,0,0,0,5.29,41.99,4.1,7.52
109,002459,晶澳科技,2020-05-14,0,1,0,0,0,0,13.42,17.94,3.86,15.83
110,002460,赣锋锂业,2020-05-14,0,1,0,0,0,0,12.93,2071.25,8.01,51.39
111,002497,雅化集团,2020-05-14,0,1,0,0,0,0,9.59,324.4,8.46,8.14
112,002505,大康农业,2020-05-14,0,1,0,0,0,0,54.85,145.07,54.85,2.87
113,002508,老板电器,2020-05-14,0,1,0,0,0,0,9.49,31.56,9.35,32.64
114,002515,金字火腿,2020-05-14,0,1,0,0,0,0,9.78,33.72,8.49,6.94
115,002517,恺英网络,2020-05-14,0,1,0,0,0,0,21.53,52.29,16.14,3.08
116,002531,天顺风能,2020-05-14,0,1,0,0,0,0,17.79,20.39,17.69,6.09
117,002534,杭锅股份,2020-05-14,0,1,0,0,0,0,7.39,22.82,7.3,8.0
118,002545,东方铁塔,2020-05-14,0,1,0,0,0,0,12.44,55.74,10.32,8.21
119,002555,三七互娱,2020-05-14,0,1,0,0,0,0,21.12,27.5,13.17,37.86
120,002560,通达股份,2020-05-14,0,1,0,0,0,0,4.44,17.36,2.58,9.15
121,002590,万安科技,2020-05-14,0,1,0,0,0,0,4.8,0.0,4.34,7.27
122,002593,日上集团,2020-05-14,0,1,0,0,0,0,7.01,42.27,4.67,3.6
123,002596,海南瑞泽,2020-05-14,0,1,0,0,0,0,11.51,0.0,9.82,7.51
124,002609,捷顺科技,2020-05-14,0,1,0,0,0,0,6.45,0.0,4.33,10.87
125,002616,长青集团,2020-05-14,0,1,0,0,0,0,7.42,35.23,4.59,10.01
126,002625,光启技术,2020-05-14,0,1,0,0,0,0,21.55,175.45,11.65,8.34
127,002643,万润股份,2020-05-14,0,1,0,0,0,0,9.09,28.53,8.94,15.88
128,002673,西部证券,2020-05-14,0,1,0,0,0,0,35.02,28.08,35.02,8.14
129,002676,顺威股份,2020-05-14,0,1,0,0,0,0,7.2,849.41,7.2,4.15
130,002677,浙江美大,2020-05-14,0,1,0,0,0,0,6.46,88.63,3.13,11.54
131,002706,良信电器,2020-05-14,0,1,0,0,0,0,7.85,60.6,5.88,14.28
132,002755,奥赛康,2020-05-14,0,1,0,0,0,0,9.28,40.43,1.51,20.21
133,002756,永兴材料,2020-05-14,0,1,0,0,0,0,3.6,19.73,1.85,16.59
134,002760,凤形股份,2020-05-14,0,1,0,0,0,0,0.88,31.3,0.73,20.84
135,002765,蓝黛传动,2020-05-14,0,1,0,0,0,0,4.81,0.0,2.5,4.27
136,002772,众兴菌业,2020-05-14,0,1,0,0,0,0,3.68,9.75,2.55,8.16
137,002777,久远银海,2020-05-14,0,1,0,0,0,0,2.24,245.5,1.9,44.91
138,002778,高科石化,2020-05-14,0,1,0,0,0,0,0.89,0.0,0.89,24.2
139,002779,中坚科技,2020-05-14,0,1,0,0,0,0,1.32,0.0,1.18,14.2
140,002785,万里石,2020-05-14,0,1,0,0,0,0,2.0,440.83,1.55,17.19
141,002786,银宝山新,2020-05-14,0,1,0,0,0,0,3.81,0.0,3.8,8.37
142,002789,建艺集团,2020-05-14,0,1,0,0,0,0,1.38,98.59,0.83,13.68
143,002812,恩捷股份,2020-05-14,0,1,0,0,0,0,8.05,80.99,5.21,56.34
144,002816,和科达,2020-05-14,0,1,0,0,0,0,1.0,0.0,0.97,28.59
145,002817,黄山胶囊,2020-05-14,0,1,0,0,0,0,0.87,52.0,0.87,22.23
146,002831,裕同科技,2020-05-14,0,1,0,0,0,0,8.77,37.81,4.26,25.39
147,002833,弘亚数控,2020-05-14,0,1,0,0,0,0,1.35,23.87,0.77,40.17
148,002840,华统股份,2020-05-14,0,1,0,0,0,0,2.77,26.53,2.72,17.2
149,002850,科达利,2020-05-14,0,1,0,0,0,0,2.1,198.99,1.3,57.28
150,002857,三晖电气,2020-05-14,0,1,0,0,0,0,1.28,0.0,0.92,12.39
151,002870,香山股份,2020-05-14,0,1,0,0,0,0,1.11,137.21,0.4,22.34
152,002884,凌霄泵业,2020-05-14,0,1,0,0,0,0,2.52,15.5,1.65,15.8
153,002887,绿茵生态,2020-05-14,0,1,0,0,0,0,2.08,22.76,0.67,17.63
154,002890,弘宇股份,2020-05-14,0,1,0,0,0,0,0.67,2675.65,0.43,35.95
155,002918,蒙娜丽莎,2020-05-14,0,1,0,0,0,0,4.03,69.59,1.36,28.47
