code,profitForcastExpPubDate,profitForcastExpStatDate,profitForcastType,profitForcastChgPctUp,profitForcastChgPctDwn,name,industry,outstanding
000157,2020-01-16,2019-12-31,预增,122.79,112.89,中联重科,工程机械,63.51
000529,2020-01-22,2019-12-31,预增,65.0,39.0,广弘控股,食品,5.7
600035,2020-01-21,2019-12-31,预增,90.0,60.0,楚天高速,路桥,15.25
000626,2020-01-14,2019-12-31,预增,236.0,152.0,远大控股,商贸代理,4.64
600027,2020-01-18,2019-12-31,预增,110.0,90.0,华电国际,火力发电,69.96
002809,2019-10-25,2019-12-31,预增,100.0,60.0,红墙股份,化工原料,0.71
002810,2019-10-22,2019-12-31,预增,130.0,100.0,山东赫达,化工原料,1.36
002812,2020-01-11,2019-12-31,预增,74.71,49.75,恩捷股份,广告包装,5.21
600031,2020-01-21,2019-12-31,预增,92.93,76.58,三一重工,工程机械,84.18
002826,2020-01-17,2019-12-31,预增,60.0,30.0,易明医药,中成药,1.34
000690,2020-01-06,2019-12-31,预增,98.75,49.06,宝新能源,火力发电,20.84
002803,2020-01-20,2019-12-31,预增,59.45,50.07,吉宏股份,互联网,1.18
002837,2020-01-20,2019-12-31,预增,60.0,40.0,英维克,专用机械,1.53
002846,2020-01-15,2019-12-31,预增,101.79,73.3,英联股份,广告包装,0.53
002847,2020-01-18,2019-12-31,预增,84.36,70.18,盐津铺子,食品,0.36
002850,2019-10-30,2019-12-31,预增,210.0,160.0,科达利,机械基件,0.93
002851,2020-01-23,2019-12-31,预增,100.0,50.0,麦格米特,电气设备,2.58
002855,2020-01-21,2019-12-31,预增,100.0,50.0,捷荣技术,塑料,0.83
002869,2020-01-20,2019-12-31,预增,4252.61,3601.77,金溢科技,通信设备,0.45
002841,2019-10-26,2019-12-31,预增,70.0,45.0,视源股份,元器件,0.7
000685,2020-01-21,2019-12-31,预增,60.0,40.0,中山公用,水务,12.53
002801,2019-10-29,2019-12-31,预增,80.0,60.0,微光股份,电气设备,0.58
002800,2019-10-24,2019-12-31,预增,536.89,364.76,天顺股份,仓储物流,0.71
002733,2019-10-24,2019-12-31,预增,133.49,80.42,雄韬股份,电气设备,3.27
002734,2019-10-29,2019-12-31,预增,70.0,50.0,利民股份,农药化肥,2.46
002740,2019-10-31,2019-12-31,预增,140.0,90.0,爱迪尔,服饰,1.9
002746,2020-01-16,2019-12-31,预增,161.22,136.34,仙坛股份,农业综合,3.63
000710,2019-10-31,2019-12-31,预增,64.12,52.93,贝瑞基因,医疗保健,2.31
002760,2020-01-17,2019-12-31,预增,146.21,96.97,凤形股份,机械基件,0.73
002800,2020-01-31,2019-12-31,预增,364.76,209.84,天顺股份,仓储物流,0.71
000708,2020-01-21,2019-12-31,预增,54.0,45.0,中信特钢,特种钢,4.49
000703,2020-01-04,2019-12-31,预增,58.0,42.71,恒逸石化,化纤,23.31
002791,2020-01-23,2019-12-31,预增,155.63,132.39,坚朗五金,其他建材,1.61
002793,2020-01-17,2019-12-31,预增,483.77,456.82,东音股份,专用机械,2.37
002796,2020-01-16,2019-12-31,预增,134.53,85.15,世嘉科技,专用机械,1.33
002798,2019-10-30,2019-12-31,预增,55.0,45.0,帝欧家居,家居用品,1.9
002799,2019-10-22,2019-12-31,预增,150.0,100.0,环球印务,广告包装,1.5
000705,2020-01-21,2019-12-31,预增,215.0,185.0,浙江震元,医药商业,2.82
000677,2020-01-21,2019-12-31,预增,486.11,358.37,恒天海龙,化纤,8.64
002157,2020-01-20,2019-12-31,预增,830.6,727.2,正邦科技,饲料,22.18
